,Wuhan,Huangshi,Shiyan,Yichang,Xiangfan,Ezhou,Jingmen,Xiaogan,Jingzhou,Huanggang,Xianning,Suizhou,Enshi,Xiantao,Qianjiang,Tianmen,Shennongjia,Hubei,
Qtr1-2004,5,0,0,1,0,0,3,0,12,1,1,0,0,2,1,0,0,26,
Qtr2-2004,8,1,0,2,3,0,10,1,16,2,2,4,1,3,2,1,0,56,
Qtr3-2004,10,0,0,1,0,0,6,7,32,3,4,1,0,3,10,1,0,78,
Qtr4-2004,6,0,0,7,4,0,7,5,11,2,7,1,1,9,2,2,0,64,
Qtr1-2005,6,0,0,2,2,0,4,2,5,3,3,0,0,0,2,0,0,29,
Qtr2-2005,4,2,0,4,0,0,3,0,7,3,0,0,0,1,2,1,0,27,
Qtr3-2005,6,5,0,8,3,2,5,1,9,8,6,1,0,2,1,3,0,60,
Qtr4-2005,3,14,0,6,11,2,4,4,3,11,7,1,0,1,1,0,0,68,
Qtr1-2006,1,7,0,4,0,1,1,1,3,4,1,1,0,1,0,1,0,26,
Qtr2-2006,5,4,5,5,6,0,4,1,6,8,3,1,0,1,0,3,0,52,
Qtr3-2006,3,6,2,8,9,0,1,2,2,21,2,2,6,4,1,1,0,70,
Qtr4-2006,3,7,2,7,5,3,2,1,6,16,5,0,3,2,3,5,0,70,
Qtr1-2007,2,3,2,1,3,2,2,1,5,5,1,0,1,0,0,1,0,29,
Qtr2-2007,5,3,5,3,1,0,1,3,3,6,0,3,2,0,1,1,0,37,
Qtr3-2007,2,2,2,3,5,0,2,2,6,6,3,4,1,0,2,1,1,42,
Qtr4-2007,2,1,1,5,3,1,1,5,5,6,3,3,2,2,1,1,1,43,
Qtr1-2008,0,1,0,0,2,0,1,2,1,1,1,1,0,0,0,0,0,10,
Qtr2-2008,0,1,0,0,4,0,4,0,4,2,0,0,2,1,0,2,0,20,
Qtr3-2008,4,0,1,1,2,1,2,0,3,9,1,2,7,0,1,2,0,36,
Qtr4-2008,1,2,1,1,1,0,2,0,2,4,1,2,4,1,0,2,0,24,
Qtr1-2009,3,0,2,4,2,0,1,1,3,3,0,0,3,1,0,1,0,24,
Qtr2-2009,2,0,4,2,2,0,0,0,0,1,0,2,5,1,0,1,0,20,
Qtr3-2009,0,2,5,1,6,0,5,1,0,2,0,3,15,1,0,0,1,42,
Qtr4-2009,3,2,3,3,1,1,0,0,5,6,0,1,8,1,0,0,0,34,
Qtr1-2010,0,0,0,0,1,0,2,0,1,0,0,0,6,0,0,1,0,11,
Qtr2-2010,3,1,4,2,3,0,2,1,0,0,0,0,6,0,1,0,0,23,
Qtr3-2010,1,2,1,2,4,0,3,1,4,1,0,0,4,1,0,1,0,25,
Qtr4-2010,0,0,0,0,5,0,3,3,4,4,2,0,4,0,0,0,0,25,
Qtrt1-2011,1,0,1,2,4,0,3,0,3,1,0,2,2,0,1,0,0,20,
Qtr2-2011,2,1,1,1,2,1,1,0,1,2,1,0,2,0,0,1,0,16,
Qtr3-2011,2,0,2,2,6,1,1,1,0,1,1,0,3,2,1,1,0,24,
Qtr4-2011,6,1,0,1,4,0,1,1,3,3,0,0,3,0,1,2,0,27,(≤ªœÍ –1)
Qtr1-2012,0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,2,0,7,
Qtr2-2012,0,0,0,1,1,0,0,1,2,1,1,0,1,1,0,0,0,9,
Qtr3-2012,1,1,1,5,4,0,0,1,0,3,2,1,1,0,0,1,0,21,
Qtr4-2012,1,1,1,4,1,0,0,2,1,3,0,3,1,0,0,1,0,19,
Qtr1-2013,1,0,0,1,1,0,0,2,1,0,0,0,2,0,0,0,0,8,
Qtr2-2013,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,6,
Qtr3-2013,1,2,0,2,4,0,2,2,0,0,0,0,1,0,0,0,0,14,
Qtr4-2013,2,0,2,0,0,0,1,0,3,1,0,1,1,0,0,0,0,11,
Qtr1-2014,0,1,0,2,1,0,0,0,2,0,0,0,1,0,0,0,0,7,
Qtr2-2014,0,0,1,0,2,0,0,1,1,0,0,0,0,0,1,0,0,6,
Qtr3-2014,1,0,0,1,3,0,2,1,1,2,0,0,1,0,0,0,0,12,
Qtr4-2014,0,0,0,3,3,1,2,0,3,0,0,0,0,0,2,0,0,14,
Qtr1-2015,0,0,0,1,0,0,0,0,4,0,0,0,3,0,0,0,0,8,
Qtr2-2015,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,7,
Qtr3-2015,0,0,2,0,2,0,2,0,1,0,0,1,0,0,0,0,0,8,
Qtr4-2015,0,0,4,5,0,0,0,2,1,0,0,0,2,0,0,0,0,14,
Qtr1-2016,0,0,1,1,1,0,1,0,3,0,0,0,0,0,0,0,0,7,
Qtr2-2016,1,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,6,
Qtr3-2016,0,0,1,5,3,0,1,0,0,0,0,0,0,0,1,0,0,11,
Qtr4-2016,0,0,0,1,2,0,0,1,2,0,0,1,0,0,0,0,0,7,
Qtr1-2017,0,0,4,2,0,0,2,2,1,0,0,0,1,0,0,0,0,12,
Qtr2-2017,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,6,
Qtr3-2017,0,0,0,2,5,0,1,0,2,1,0,0,0,0,0,0,0,11,
Qtr4-2017,0,0,1,2,3,0,2,0,0,2,0,0,0,0,0,0,0,10,
Qtr1-2018,0,0,3,0,2,0,1,2,1,0,1,0,1,0,0,0,0,11,
Qtr2-2018,1,0,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,8,
Qtr3-2018,1,0,0,1,2,0,0,0,2,0,0,0,0,1,1,0,0,8,
Qtr4-2018,1,0,0,3,2,0,1,0,1,0,0,0,0,0,0,1,0,9,
