,Wuhan,Huangshi,Shiyan,Suizhou,Yichang,Xiangfan,Ezhou,Jingmen,Xiaogan,Jingzhou,Huanggang,Xianning,Enshi,Xiantao,Qianjiang,Tianmen,Shennongjia,Hubei
Qtr1-2010,11295,3165,2008,1851,5471,4276,1835,2361,2742,6150,4665,2726,2609,860,522,366,57,52959
Qtr2-2010,20033,5629,3264,3055,8172,6930,2498,4117,3493,9817,6624,4018,3406,1493,1340,604,88,84581
Qtr3-2010,22471,5680,3261,3578,9484,7171,2676,5126,4498,11390,7475,4781,3538,1743,1612,949,100,95533
Qtr4-2010,14360,3965,2124,2482,6213,5965,2345,3541,3173,7723,3927,3899,1986,1416,1239,930,50,65338
Qtrt1-2011,12372,2806,2148,2270,5539,4707,1796,2789,2738,6253,4554,3050,2279,1082,884,1449,66,56782
Qtr2-2011,21750,4665,5832,3516,8267,9518,1992,4360,4671,9333,6384,3897,3352,1894,1547,1550,107,92635
Qtr3-2011,22786,5300,11009,4012,9340,10399,2116,4462,5157,11885,6878,5000,3553,2377,2267,1532,128,108201
Qtr4-2011,14424,3517,13192,2397,6982,6998,2078,3453,3544,8281,5277,3535,2191,1562,1306,1397,70,80204
Qtr1-2012,12330,2601,1857,1560,4912,6012,1896,2774,2630,5698,4930,2537,2054,1059,1062,1392,62,55366
Qtr2-2012,21988,4571,4957,2809,8175,9990,1728,4542,5091,10951,6672,4245,2858,1864,1831,1399,93,93764
Qtr3-2012,21446,4592,5158,2997,8058,11325,1810,5005,4976,11411,7216,5279,2984,2827,1948,1481,148,98661
Qtr4-2012,14524,2920,10229,2394,5467,7363,1617,3230,3346,7760,5606,3039,1752,1548,1157,1045,72,73069
Qtr1-2013,12216,2682,2069,2269,5230,6375,767,2959,2841,6342,4752,2739,2336,1240,987,927,67,56798
Qtr2-2013,20754,3960,2792,3443,7728,9974,1178,4054,4523,9707,7323,3727,3100,2088,1498,1227,98,87174
Qtr3-2013,21193,3773,3075,3568,8230,11293,1247,4532,5188,10606,6914,5034,3208,2276,1790,1439,117,93483
Qtr4-2013,16250,6555,3020,2827,7472,8123,1133,3852,4148,8193,6019,3879,2074,1548,1223,1246,73,77635
Qtr1-2014,12363,2558,2058,2571,5255,6674,1314,3090,3124,7664,5640,2849,2210,1456,1152,976,55,61009
Qtr2-2014,21676,3984,2876,3650,7934,10341,1140,4766,4893,10032,7493,4078,2232,2112,1785,1360,105,90457
Qtr3-2014,22553,4403,3110,3934,9184,11298,1107,5474,4981,11058,8261,5145,2214,2176,1870,1439,127,98334
Qtr4-2014,15278,3315,2248,2706,5874,7909,1327,4517,4056,7757,7493,3647,2106,1575,1296,1246,68,72418
Qtr1-2015,16605,2854,2154,2643,5862,10587,1574,3788,3258,6888,6392,3539,1996,1389,1865,1015,65,72474
Qtr2-2015,29114,4302,3225,3366,8534,10616,1431,5220,5091,10517,8145,4666,2531,2428,1815,1568,95,102664
Qtr3-2015,30292,4446,3541,4273,9962,12511,1538,5815,4597,10238,8633,5035,2870,1858,2133,1552,122,109416
Qtr4-2015,20521,3328,2919,2748,6400,8002,1713,3763,3442,7649,6450,4208,1840,1752,1305,1119,81,77240
Qtr1-2016,18687,3122,2704,2435,6526,7817,1580,3498,3094,7141,6009,3760,2643,1706,1252,7581,97,79652
Qtr2-2016,32764,4885,3797,3759,9398,13157,1440,5165,4936,9698,8187,4965,3318,2605,2026,2042,106,112248
Qtr3-2016,34090,5365,4417,4382,11033,16108,1543,5906,5603,11387,8935,5572,4700,2965,2223,2346,88,126663
Qtr4-2016,23093,4002,2985,2710,7321,10362,1752,4015,3921,8195,6822,4556,3105,2078,1451,1726,75,88169
Qtr1-2017,19861,4134,4205,2896,7538,10587,943,3965,3974,8029,7503,4570,3404,1730,1416,1604,90,86449
Qtr2-2017,34823,5664,4987,4514,10125,15211,938,5485,9435,11210,10016,6760,4139,2978,1979,1567,116,129947
Qtr3-2017,36232,5260,5274,4827,11528,17350,911,6473,15605,12370,10720,7581,5476,3204,1786,2364,151,147112
Qtr4-2017,24544,4807,3722,3438,14988,12143,978,4451,2424,8845,8931,5615,3467,2107,1561,1781,102,103904
Qtr1-2018,21918,4749,3884,3843,7929,12372,755,4929,4338,10223,9846,5776,4384,2367,1724,2053,115,101205
Qtr2-2018,38428,6580,6393,3520,11534,18384,968,7011,10760,13526,11351,8037,5358,3605,2298,2582,115,150450
Qtr3-2018,39983,6702,6931,3698,11990,19281,1927,7450,9338,14347,12000,8277,6587,3710,2350,3286,174,158031
Qtr4-2018,27086,5139,3785,3574,7629,12829,1962,4954,5466,9947,8213,5122,3528,2368,1602,2161,115,105480
