,Hubei,Wuhan,Huangshi,Shiyan,Yichang,Xiangfan,Ezhou,Jingmen,Xiaogan,Jingzhou,Huanggang,Xianning,Suizhou,Enshi,Xiantao,Qianjiang,Tianmen,Shennongjia
4-Jan,8,2,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0
4-Feb,8,0,0,0,1,0,0,1,0,4,0,0,0,0,2,0,0,0
4-Mar,10,3,0,0,0,0,0,1,0,4,1,1,0,0,0,0,0,0
4-Apr,15,1,0,0,0,0,0,5,0,4,1,0,3,0,0,1,0,0
4-May,14,2,0,0,1,1,0,3,0,3,0,1,1,0,1,1,0,0
4-Jun,27,5,1,0,1,2,0,2,1,9,1,1,0,1,2,0,1,0
4-Jul,25,2,0,0,0,0,0,3,2,11,1,2,0,0,1,3,0,0
4-Aug,30,4,0,0,0,0,0,3,3,13,1,0,1,0,2,3,0,0
4-Sep,23,4,0,0,1,0,0,0,2,8,1,2,0,0,0,4,1,0
4-Oct,29,3,0,0,4,0,0,4,3,6,0,2,1,1,4,0,1,0
4-Nov,18,1,0,0,1,1,0,1,1,4,1,3,0,0,3,1,1,0
4-Dec,17,2,0,0,2,3,0,2,1,1,1,2,0,0,2,1,0,0
5-Jan,12,0,0,0,0,2,0,3,2,2,1,2,0,0,0,0,0,0
5-Feb,9,3,0,0,1,0,0,1,0,1,1,0,0,0,0,2,0,0
5-Mar,8,3,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0
5-Apr,11,2,0,0,3,0,0,2,0,3,1,0,0,0,0,0,0,0
5-May,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
5-Jun,12,1,2,0,1,0,0,0,0,3,2,0,0,0,1,1,1,0
5-Jul,15,3,1,0,0,0,0,3,0,2,2,2,0,0,0,0,2,0
5-Aug,18,1,0,0,4,0,1,1,0,6,2,2,0,0,0,1,0,0
5-Sep,27,2,4,0,4,3,1,1,1,1,4,2,1,0,2,0,1,0
5-Oct,16,3,5,0,2,2,0,0,0,1,1,2,0,0,0,0,0,0
5-Nov,29,0,7,0,2,4,0,0,4,2,5,3,1,0,1,0,0,0
5-Dec,23,0,2,0,2,5,2,4,0,0,5,2,0,0,0,1,0,0
6-Jan,7,0,2,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0
6-Feb,8,1,2,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0
6-Mar,11,0,3,0,1,0,1,0,1,1,2,0,1,0,1,0,0,0
6-Apr,17,2,1,1,2,3,0,1,0,3,1,1,1,0,0,0,1,0
6-May,15,3,1,0,1,1,0,2,1,1,3,1,0,0,1,0,0,0
6-Jun,20,0,2,4,2,2,0,1,0,2,4,1,0,0,0,0,2,0
6-Jul,12,1,1,1,3,1,0,0,1,0,3,0,0,0,0,1,0,0
6-Aug,37,1,4,1,5,4,0,1,0,1,12,1,1,4,1,0,1,0
6-Sep,21,1,1,0,0,4,0,0,1,1,6,1,1,2,3,0,0,0
6-Oct,27,1,2,1,2,2,1,1,0,3,6,1,0,2,2,0,3,0
6-Nov,24,1,2,1,2,1,0,1,1,2,7,2,0,1,0,1,2,0
6-Dec,19,1,3,0,3,2,2,0,0,1,3,2,0,0,0,2,0,0
7-Jan,10,1,1,0,0,2,0,1,1,1,2,0,0,1,0,0,0,0
7-Feb,7,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0
7-Mar,12,0,1,1,0,1,1,1,0,3,3,0,0,0,0,0,1,0
7-Apr,10,1,1,1,1,0,0,0,3,1,2,0,0,0,0,0,0,0
7-May,13,2,1,2,1,0,0,1,0,0,2,0,1,2,0,1,0,0
7-Jun,14,2,1,2,1,1,0,0,0,2,2,0,2,0,0,0,1,0
7-Jul,12,1,0,1,2,0,0,0,0,1,1,2,2,0,0,2,0,0
7-Aug,14,1,1,0,0,4,0,1,1,1,3,0,1,1,0,0,0,0
7-Sep,16,0,1,1,1,1,0,1,1,4,2,1,1,0,0,0,1,1
7-Oct,11,0,0,0,4,1,0,0,0,2,3,1,0,0,0,0,0,0
7-Nov,14,2,1,0,0,1,1,1,2,0,2,1,0,1,1,0,0,1
7-Dec,18,0,0,1,1,1,0,0,3,3,1,1,3,1,1,1,1,0
8-Jan,7,0,1,0,0,2,0,1,1,1,0,1,0,0,0,0,0,0
8-Feb,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
8-Mar,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8-Apr,5,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0
8-May,6,0,0,0,0,1,0,1,0,1,2,0,0,1,0,0,0,0
8-Jun,9,0,1,0,0,2,0,1,0,1,0,0,0,1,1,0,2,0
8-Jul,11,0,0,0,0,1,0,2,0,0,5,1,1,1,0,0,0,0
8-Aug,14,1,0,1,1,1,1,0,0,2,3,0,1,0,0,1,2,0
8-Sep,11,3,0,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0
8-Oct,9,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0
8-Nov,8,0,1,1,0,0,0,1,0,1,2,0,1,1,0,0,0,0
8-Dec,7,0,0,0,1,0,0,1,0,0,1,0,0,2,1,0,1,0
9-Jan,10,2,0,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0
9-Feb,7,1,0,0,3,0,0,0,1,1,1,0,0,0,0,0,0,0
9-Mar,7,0,0,1,0,1,0,1,0,1,1,0,0,2,0,0,0,0
9-Apr,5,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
9-May,7,0,0,2,0,0,0,0,0,0,1,0,0,3,0,0,1,0
9-Jun,8,1,0,1,2,1,0,0,0,0,0,0,1,1,1,0,0,0
9-Jul,20,0,2,1,0,5,0,4,1,0,1,0,0,5,0,0,0,1
9-Aug,8,0,0,1,0,1,0,0,0,0,0,0,2,4,0,0,0,0
9-Sep,14,0,0,3,1,0,0,1,0,0,1,0,1,6,1,0,0,0
9-Oct,7,0,0,1,1,0,1,0,0,0,1,0,0,3,0,0,0,0
9-Nov,17,2,1,2,1,1,0,0,0,2,4,0,0,3,1,0,0,0
9-Dec,10,1,1,0,1,0,0,0,0,3,1,0,1,2,0,0,0,0
10-Jan,5,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,1,0
10-Feb,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
10-Mar,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
10-Apr,5,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0
10-May,6,0,0,0,1,2,0,1,0,0,0,0,0,2,0,0,0,0
10-Jun,12,2,1,3,1,1,0,1,0,0,0,0,0,2,0,1,0,0
10-Jul,10,1,0,1,1,2,0,0,1,2,1,0,0,1,0,0,0,0
10-Aug,9,0,2,0,1,1,0,2,0,1,0,0,0,0,1,0,1,0
10-Sep,6,0,0,0,0,1,0,1,0,1,0,0,0,3,0,0,0,0
10-Oct,12,0,0,0,0,3,0,1,0,3,0,2,0,3,0,0,0,0
10-Nov,4,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0
10-Dec,9,0,0,0,0,1,0,2,1,1,4,0,0,0,0,0,0,0
11-Jan,8,0,0,0,1,2,0,0,0,3,0,0,0,1,0,1,0,0
11-Feb,5,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0
11-Mar,7,1,0,1,0,1,0,2,0,0,0,0,1,1,0,0,0,0
11-Apr,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
11-May,8,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0
11-Jun,5,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
11-Jul,8,0,0,1,0,1,1,0,1,0,0,1,0,0,2,1,0,0
11-Aug,7,1,0,1,1,2,0,1,0,0,0,0,0,1,0,0,0,0
11-Sep,9,1,0,0,1,3,0,0,0,0,1,0,0,2,0,0,1,0
11-Oct,9,2,0,0,0,2,0,0,1,0,1,0,0,1,0,1,0,0
11-Nov,9,2,1,0,1,1,0,1,0,0,2,0,0,1,0,0,0,0
11-Dec,9,2,0,0,0,1,0,0,0,3,0,0,0,1,0,0,2,0
12-Jan,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0
12-Feb,3,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
12-Mar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-Apr,4,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
12-May,3,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
12-Jun,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
12-Jul,7,1,0,0,2,1,0,0,0,0,1,2,0,0,0,0,0,0
12-Aug,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
12-Sep,10,0,1,0,2,2,0,0,1,0,2,0,1,1,0,0,0,0
12-Oct,5,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0
12-Nov,5,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0
12-Dec,9,1,0,1,2,1,0,0,0,0,1,0,2,1,0,0,0,0
13-Jan,3,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
13-Feb,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Mar,4,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0
13-Apr,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13-May,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13-Jun,4,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0
13-Jul,7,1,1,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0
13-Aug,5,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0
13-Sep,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13-Oct,8,2,0,2,0,0,0,1,0,1,1,0,1,0,0,0,0,0
13-Nov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Dec,3,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
14-Jan,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14-Feb,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
14-Mar,4,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
14-Apr,4,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0
14-May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-Jun,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
14-Jul,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
14-Aug,5,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0
14-Sep,4,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0
14-Oct,7,0,0,0,2,2,1,0,0,2,0,0,0,0,0,0,0,0
14-Nov,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
14-Dec,4,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
15-Jan,5,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0
15-Feb,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
15-Mar,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15-Apr,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15-May,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Jun,4,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
15-Jul,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
15-Aug,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
15-Sep,3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
15-Oct,4,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
15-Nov,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
15-Dec,8,0,0,2,3,0,0,0,1,0,0,0,0,2,0,0,0,0
16-Jan,5,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0
16-Feb,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16-Mar,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-Apr,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16-May,4,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
16-Jun,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-Jul,5,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
16-Aug,4,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0
16-Sep,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
16-Oct,5,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0
16-Nov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-Dec,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
17-Jan,5,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0
17-Feb,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
17-Mar,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
17-Apr,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17-May,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
17-Jun,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
17-Jul,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
17-Aug,6,0,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0
17-Sep,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
17-Oct,5,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0
17-Nov,4,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0
17-Dec,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18-Jan,7,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0
18-Feb,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18-Mar,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18-Apr,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
18-May,4,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
18-Jun,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
18-Jul,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
18-Aug,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
18-Sep,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Oct,5,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
18-Nov,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
18-Dec,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
